prefix,lat,lon,name,category,in_h1,out_h1,in_h2,out_h2,in_h3,out_h3,in_h4,out_h4,in_h5,out_h5,in_h6,out_h6,in_h7,out_h7,in_h8,out_h8,in_h9,out_h9,in_h10,out_h10,in_h11,out_h11,in_h12,out_h12,in_h13,out_h13,in_h14,out_h14,in_h15,out_h15,in_h16,out_h16,in_h17,out_h17,in_h18,out_h18,in_h19,out_h19,in_h20,out_h20,in_h21,out_h21,in_h22,out_h22,in_h23,out_h23,in_h24,out_h24,cap
jen,29.644393,-82.342214,Jennings Hall Office,admin,4,4,12,9,6,2,0,1,2,1,6,3,26,4,52,14,73,15,69,31,80,47,87,53,60,67,56,60,54,45,57,55,57,66,47,37,35,27,27,18,22,27,22,24,23,24,6,7,76
lar,29.643124,-82.347321,Larsen Hall,academic,0,0,0,0,0,0,0,0,0,0,1,0,2,1,2,5,10,20,41,16,14,14,19,24,28,19,20,21,18,21,16,11,12,3,2,2,1,0,2,0,0,0,1,0,0,0,0,1,43
lbw,29.65112,-82.34288,Library West,library,31,6,17,3,10,1,6,2,7,2,6,3,8,5,15,16,30,51,51,72,98,80,76,97,81,63,84,65,60,60,53,48,68,23,45,19,34,19,13,9,36,4,16,1,5,5,1,1,127
lit,29.648846,-82.340697,Little Hall,academic,1,1,1,0,0,0,0,0,0,0,1,0,0,1,4,62,68,78,116,73,93,98,125,102,115,95,104,41,48,29,35,16,18,2,4,2,3,1,1,1,0,2,1,1,0,1,3,0,168
mae,29.64668,-82.349201,Materials Engineering,academic,0,2,0,2,0,0,0,0,0,0,0,0,0,0,2,4,4,9,14,11,7,4,11,13,6,14,8,10,7,13,5,4,2,7,3,3,1,2,4,5,0,4,2,1,2,2,1,3,22
maec,29.647327,-82.349466,MAE C,academic,2,1,0,3,0,0,0,0,0,1,0,0,1,2,10,2,14,10,12,9,12,12,13,11,11,16,7,4,7,8,13,7,16,10,3,2,8,3,8,4,3,6,5,3,4,4,4,3,20
mat,29.651649,-82.341016,Matherly Hall,academic,0,3,0,0,0,2,0,0,0,2,0,1,1,2,4,15,24,88,124,126,137,94,118,95,112,63,57,39,42,16,33,9,3,11,1,4,1,6,1,5,4,3,1,5,3,5,1,0,164
mcca,29.646982,-82.345531,Mccarty Hall A,academic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,12,37,51,52,50,45,41,35,16,9,10,7,5,5,6,2,0,2,2,0,2,1,1,1,1,2,1,0,0,87
mccaG,29.646982,-82.345531,Mccarty Hall A,academic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,12,37,51,52,50,45,41,35,16,9,10,7,5,5,6,2,0,2,2,0,2,1,1,1,1,2,1,0,0,87
mccb,29.646754,-82.34492,Mccarty Hall B,academic,0,0,0,0,2,0,0,0,0,0,0,0,0,2,1,7,8,19,22,16,19,19,25,25,17,17,14,11,14,3,5,2,3,2,0,1,1,2,1,1,2,0,1,0,0,0,0,0,46
mccbG,29.646754,-82.34492,Mccarty Hall B,academic,0,0,0,0,2,0,0,0,0,0,0,0,0,2,1,7,8,19,22,16,19,19,25,25,17,17,14,11,14,3,5,2,3,2,0,1,1,2,1,1,2,0,1,0,0,0,0,0,46
mccc,29.646682,-82.345338,Mccarty Hall C,academic,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,15,18,44,42,55,56,52,59,32,35,17,13,7,11,2,0,2,3,0,1,1,0,0,0,0,0,0,0,0,0,0,2,1,63
